Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.00945133,0.00139404,0.0162572,1
0.00811888,0.002365,0.0253906,1
0.00980939,0.00175379,0.0211934,1
0.0299051,0.00524189,0.0312781,1
0.0115343,0.00217253,0.0183485,1
0.00755929,0.00170982,0.0200845,1
0.0118754,0.00258033,0.035474,1
0.0156913,0.00313395,0.0392054,1
0.0127244,0.00244141,0.0186511,1
0.00778404,0.00175453,0.0129886,1
0.0100507,0.00223917,0.0185156,1
0.011202,0.00272243,0.0233656,1
0.0248725,0.00522801,0.0533971,1
0.0108803,0.00206868,0.0191533,1
0.0115442,0.00248236,0.0206972,1
0.0134661,0.00248025,0.0263542,1
0.0117769,0.00219172,0.0214128,1
0.012197,0.00279859,0.0222644,1
0.00924566,0.00203539,0.0156234,1
0.0097054,0.00161993,0.0194438,1
0.0100253,0.00206525,0.0162362,1
0.0107622,0.00218904,0.0224575,1
0.00951866,0.00220305,0.0187053,1
0.0122322,0.0025562,0.0246159,1
0.00715439,0.00164714,0.017002,1
0.00822835,0.00174746,0.0140677,1
0.0231304,0.00238145,0.0212165,1
0.0082754,0.00143446,0.0118768,1
0.00810119,0.00150444,0.0142304,1
0.00749411,0.00173391,0.0188451,1
0.00750823,0.00116246,0.0125908,1
0.0246681,0.00546486,0.052444,1
0.00885163,0.00185485,0.0160013,1
0.0099297,0.00236553,0.0295722,1
0.0101367,0.00255359,0.0214253,1
0.0101313,0.00246228,0.0209247,1
0.0116529,0.00250878,0.0328027,1
0.00935137,0.00163554,0.0199673,1
0.00775653,0.00120229,0.017318,1
0.0131557,0.00272828,0.0387281,1
0.0102114,0.00171055,0.0210858,1
0.00792946,0.00185709,0.0164553,1
0.00817195,0.00221113,0.0239294,1
0.00770489,0.0014857,0.014767,1
0.0270722,0.0055502,0.0540015,1
0.0125138,0.00189605,0.0298807,1
0.0140834,0.00260338,0.0271882,1
0.0110895,0.00202747,0.0280047,1
0.0113394,0.0023446,0.0313117,1
0.0109074,0.0018962,0.0322543,1
0.0135756,0.00191638,0.0308523,1
0.011868,0.00202909,0.0221242,1
0.0147183,0.0018499,0.0219655,1
0.011329,0.00185551,0.0273249,1
0.014768,0.00261449,0.0205732,1
0.0214879,0.00530094,0.0686351,1
0.0158601,0.00186091,0.0255745,1
0.00920457,0.00197771,0.0222664,1
0.0156841,0.00304895,0.0346552,1
0.0176461,0.00219533,0.0287539,1
0.0185159,0.00251527,0.0342711,1
0.0139692,0.00238098,0.0424914,1
0.0106875,0.00188478,0.0197137,1
0.00709943,0.00122107,0.0160946,1
0.0220153,0.00451046,0.0715988,1
0.0163498,0.00207476,0.0227567,1
0.0108176,0.00188355,0.0190585,1
0.00816881,0.00174191,0.0191753,1
0.0294269,0.00470426,0.0559922,1
0.0111723,0.00182775,0.0172445,1
0.0230633,0.00512724,0.0584564,1
0.0191005,0.00216486,0.031883,1
0.00839461,0.0018032,0.0166955,1
0.0133773,0.00190639,0.0185138,1
0.00957499,0.00186026,0.0249531,1
0.0282772,0.00473352,0.0609267,1
0.0131503,0.00223424,0.0289434,1
0.027288,0.00558346,0.0665476,1
0.0112528,0.00174802,0.0213616,1
0.00899636,0.001723,0.0190697,1
0.0140958,0.0043173,0.055454,1
0.0269139,0.00322305,0.0268959,1
0.00994488,0.00311658,0.0189251,1
0.00868496,0.00150433,0.01801,1
0.0133302,0.00311329,0.0449795,1
0.00985673,0.00168146,0.012858,1
0.00782882,0.00165339,0.0210528,1
0.0154171,0.00294478,0.037718,1
0.0144292,0.00302266,0.0288997,1
0.010353,0.00209299,0.027334,1
0.00696444,0.0015959,0.0128503,1
0.0135693,0.00279888,0.022382,1
0.008502,0.00191195,0.0247508,1
0.00895409,0.00142874,0.0191968,1
0.0088588,0.00145215,0.018801,1
0.00841089,0.0017541,0.0176594,1
0.00806693,0.0014741,0.0149035,1
0.00753342,0.00163532,0.01625,1
0.00814782,0.00123377,0.0138285,1
0.0116086,0.00221084,0.0151196,1
0.00709685,0.00137869,0.0129767,1
0.00677091,0.00176241,0.019958,1
0.00772166,0.00174956,0.0159555,1
0.00830718,0.00203138,0.0215149,1
0.00661415,0.00119752,0.0183295,1
0.0105547,0.00228786,0.0163488,1
0.00678431,0.00122061,0.0157168,1
0.00726057,0.00126928,0.0178989,1
0.00703042,0.00158638,0.0117832,1
0.00881691,0.00169693,0.0155609,1
0.0068605,0.00116374,0.0119121,1
0.00775804,0.00139916,0.0172646,1
0.0218268,0.00504756,0.0371685,1
0.00832736,0.00126071,0.0166087,1
0.00730222,0.00186495,0.023023,1
0.00721781,0.00178988,0.0158564,1
0.00720366,0.00183219,0.0159656,1
0.00703203,0.00134083,0.0221913,1
0.00906106,0.00128742,0.0189522,1
0.0068471,0.00167052,0.019421,1
0.0071949,0.0015921,0.0161145,1
0.00693338,0.00129459,0.0155219,1
0.0169773,0.00263688,0.0217173,1
0.0106257,0.0013394,0.0132235,1
0.00753171,0.0012399,0.02133,1
0.00706087,0.00142537,0.0166237,1
0.00796533,0.0012687,0.0128672,1
0.0109927,0.00236003,0.0281027,1
0.00757466,0.0014622,0.017018,1
0.0109782,0.00159781,0.0137401,1
0.00680964,0.00131706,0.0119268,1
0.00942771,0.00211994,0.0196646,1
0.0129988,0.00263141,0.0414779,1
0.0144309,0.00356782,0.0384343,1
0.0140885,0.00261925,0.0399876,1
0.00928026,0.00202105,0.022035,1
0.00860227,0.00196173,0.0196377,1
0.00852963,0.00151257,0.0158201,1
0.00911312,0.00174386,0.021707,1
0.00909202,0.00157927,0.0213952,1
0.0119719,0.00287686,0.0310215,1
0.0120652,0.00303,0.0318126,1
0.0131749,0.00231582,0.0286886,1
0.0148427,0.00231811,0.0437231,1
0.00979294,0.00241701,0.0317549,0.990431
0.0116374,0.00194655,0.0236121,1
0.00928986,0.00211088,0.0279965,1
0.00932486,0.0021599,0.0223756,1
0.00975307,0.00203044,0.0241078,1
0.0116545,0.00240791,0.0231395,1
0.0316521,0.00534407,0.0337376,1
0.0109299,0.00149116,0.0228188,1
