Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score
0.00125462,0.00163905,0.00706979,1,199,222.461,12.0179,1,1,1
0.0035713,0.00133068,0.0279692,1,196,222.461,11.3576,1,1,1
0.00397874,0.00774206,0.0159309,1,195,222.461,11.0742,1,1,1
0.00350136,0.00787601,0.0260863,1,195,222.461,11.8955,1,1,1
0.00162497,0.000565033,0.0131894,1,197,222.461,12.097,1,1,1
0.00161455,0.000899404,0.0139973,1,187,222.461,11.2992,1,1,1
0.00344797,0.00549371,0.0234575,1,199,222.461,11.9052,1,1,1
0.00351167,0.0129917,0.0114815,1,197,222.461,10.9194,1,1,1
0.00101413,0.000632604,0.0069019,1,204,222.461,11.4793,1,1,1
0.00340712,0.0100953,0.0251509,1,197,222.461,12.1528,1,1,1
0.00424216,0.0141538,0.0136838,1,195,222.461,12.1666,1,1,1
0.00101872,0.000740926,0.00762968,1,201,222.461,12.3232,1,1,1
0.00339982,0.00118325,0.0255233,1,191,222.461,11.8666,1,1,1
0.0039099,0.00906603,0.0276639,0.994764,191,222.461,11.4296,1,0.994764,0.997375
0.00112893,0.000443972,0.0118689,1,192,222.461,11.5376,1,1,1
0.00338608,0.00138987,0.0250702,1,200,222.461,11.852,1,1,1
0.00141936,0.000753916,0.00901908,1,192,222.461,11.4082,1,1,1
0.00352796,0.00193576,0.022467,1,194,222.461,11.6567,1,1,1
0.00440921,0.00709739,0.0243002,1,202,222.461,10.8004,1,1,1
0.00104112,0.00984474,0.00804095,0.989744,195,222.461,11.4157,1,0.989744,0.994845
0.00118362,0.0206013,0.0106578,1,198,222.461,11.5901,1,1,1
0.00119637,0.000676748,0.0155626,1,195,222.461,12.5959,1,1,1
0.00274279,0.00297064,0.0266642,1,193,222.461,10.5084,1,1,1
0.00230791,0.00087755,0.0153676,1,195,222.461,10.9232,1,1,1
0.00337464,0.00254543,0.0249243,1,194,222.461,10.4811,1,1,1
0.00454619,0.0167928,0.016675,1,196,222.461,11.3843,1,1,1
0.000990773,0.00199124,0.00695339,1,194,222.461,12.2461,1,1,1
0.00202822,0.000777723,0.0330431,1,195,222.461,11.3231,1,1,1
0.00385425,0.0182645,0.0141121,1,194,222.461,12.3088,1,1,1
0.00108821,0.00658555,0.0111532,1,194,222.461,11.696,1,1,1
0.00420863,0.0131247,0.027554,1,196,222.461,11.2058,1,1,1
0.0019758,0.0139744,0.0199248,0.994819,193,222.461,10.8581,1,0.994819,0.997403
0.00564204,0.00774775,0.0259883,1,195,222.461,11.3828,1,1,1
0.00168589,0.00482779,0.0115382,0.964103,195,222.461,11.1912,1,0.964103,0.981723
0.00114024,0.00046462,0.00808558,0.979798,198,222.461,11.1039,1,0.979798,0.989796
0.00484471,0.00299657,0.0347081,0.995,200,222.461,11.7717,1,0.995,0.997494
0.00280455,0.0109534,0.011287,1,197,222.461,11.8906,1,1,1
0.00116185,0.00104523,0.00810035,1,200,222.461,11.5697,1,1,1
0.00205972,0.00928163,0.0191792,1,188,222.461,11.2006,1,1,1
0.00306359,0.00241454,0.0382925,1,195,222.461,11.5904,1,1,1
0.0017684,0.019318,0.0128899,1,190,222.461,12.2096,1,1,1
0.00155209,0.00178414,0.0108539,1,198,222.461,12.7351,1,1,1
0.00164573,0.00522946,0.0159132,1,202,222.461,11.9308,1,1,1
0.00403422,0.00288592,0.0236126,1,199,222.461,10.8606,1,1,1
0.00231806,0.000850301,0.015819,0.994924,197,222.461,12.0179,1,0.994924,0.997455
0.00131977,0.000453077,0.0115111,1,194,222.461,12.3151,1,1,1
0.00353746,0.00138725,0.0295385,1,202,212.646,12.421,1,1,1
0.00341544,0.00163532,0.0232215,1,194,212.646,9.99077,1,1,1
0.00367917,0.00908208,0.0359765,1,199,212.646,12.0253,1,1,1
0.00118519,0.00289387,0.0121989,1,193,212.646,11.5922,1,1,1
0.00119928,0.00264153,0.00763924,1,191,212.646,10.6333,1,1,1
0.00340433,0.0216368,0.0395595,1,193,212.646,11.8737,1,1,1
0.00196717,0.00484306,0.0103662,1,192,212.646,10.9912,1,1,1
0.000958539,0.000587374,0.00622154,1,195,212.646,11.3161,1,1,1
0.00185206,0.000629668,0.0125517,1,199,212.646,11.7694,1,1,1
0.00344087,0.00367355,0.0405189,1,198,212.646,12.4975,1,1,1
0.00395134,0.00312164,0.0130729,1,190,212.646,10.1906,1,1,1
0.00115216,0.000489284,0.0068621,1,193,212.646,11.2885,1,1,1
0.00519764,0.00271701,0.0276085,1,196,212.646,11.6018,1,1,1
0.00478515,0.00149537,0.0243321,0.994819,193,212.646,11.3083,1,0.994819,0.997403
0.00168628,0.0117587,0.00848457,1,197,212.646,12.4365,1,1,1
0.00210296,0.00997595,0.026116,1,199,212.646,12.3643,1,1,1
0.00361504,0.0296725,0.0089107,1,196,212.646,11.8537,1,1,1
0.0016157,0.00755677,0.00635221,1,188,212.646,12.6727,1,1,1
0.00127427,0.000636596,0.0105475,1,201,212.646,11.2964,1,1,1
0.00405154,0.00244988,0.0268198,1,193,212.646,11.0599,1,1,1
0.00417022,0.00311879,0.0343408,1,193,212.646,11.1335,1,1,1
0.000988907,0.000734554,0.00711127,1,201,212.646,12.0145,1,1,1
0.00343451,0.0115055,0.0227492,0.994709,189,212.646,11.9551,1,0.994709,0.997347
0.0049996,0.00571144,0.019094,1,187,212.646,10.8749,1,1,1
0.00116885,0.00278408,0.00647049,1,195,212.646,11.8231,1,1,1
0.00348665,0.00186372,0.0226889,1,195,212.646,11.4368,1,1,1
0.00414938,0.00415538,0.0191342,1,194,212.646,12.1573,1,1,1
0.00116708,0.00211774,0.00658098,0.975,200,212.646,11.893,1,0.975,0.987342
0.00213028,0.000797503,0.0313047,1,197,212.646,12.3765,1,1,1
0.00339074,0.0139603,0.0234446,1,199,212.646,11.4527,1,1,1
0.00280388,0.0127989,0.012642,0.984694,196,212.646,11.0528,1,0.984694,0.992288
0.00104332,0.00167496,0.00740389,1,197,212.646,10.882,1,1,1
0.00344425,0.0155566,0.0261471,1,192,212.646,11.3827,1,1,1
0.00363698,0.0149628,0.00800596,1,195,212.646,12.3842,1,1,1
0.00338333,0.0103436,0.0321998,1,191,212.646,11.8087,1,1,1
0.0018281,0.00286911,0.00804487,0.994845,194,212.646,12.3197,1,0.994845,0.997416
0.00539429,0.0199349,0.0378521,1,199,212.646,11.7277,1,1,1
0.00151927,0.000719063,0.00916711,1,198,212.646,12.2067,1,1,1
0.00451821,0.014132,0.0241459,1,195,212.646,12.1895,1,1,1
0.00134816,0.00170831,0.0129796,1,196,212.646,12.1433,1,1,1
0.0102537,0.00124129,0.0225271,1,258,212.646,13.4119,1,1,1
0.0020867,0.00160532,0.0152968,1,194,212.646,11.2107,1,1,1
0.00175656,0.0156492,0.0384104,0.994845,194,212.646,11.7035,1,0.994845,0.997416
0.00107126,0.00290587,0.00770111,1,196,212.646,13.0925,1,1,1
0.00144336,0.0094696,0.0281252,1,196,212.646,12.5677,1,1,1
0.00180802,0.00967169,0.0107008,1,188,212.646,11.5072,1,1,1
0.000806279,0.0198524,0.0130278,1,201,212.646,11.7608,1,1,1
0.000890677,0.00111963,0.0200896,1,198,212.646,11.8513,1,1,1
0.00189376,0.0173428,0.0309961,1,199,212.646,11.471,1,1,1
0.000775017,0.0077763,0.011438,1,191,212.646,11.6048,1,1,1
0.00205517,0.0159551,0.0374096,1,198,211.621,12.5251,1,1,1
0.000987115,0.0266955,0.0162421,1,194,211.621,12.1636,1,1,1
0.00093972,0.0213881,0.00678996,1,194,211.621,12.6686,1,1,1
0.00115898,0.0315437,0.00890902,1,193,211.621,12.5739,1,1,1
0.000636327,0.00077612,0.0073447,1,194,211.621,12.299,1,1,1
0.000864822,0.000756624,0.0126211,1,202,211.621,12.5969,1,1,1
0.00178194,0.00179882,0.0260701,1,190,211.621,11.1387,1,1,1
0.00196528,0.00880964,0.0216594,1,189,211.621,11.5917,1,1,1
0.00056145,0.00538221,0.00668967,1,189,211.621,11.6417,1,1,1
0.0017763,0.00325831,0.0270828,1,200,211.621,12.3045,1,1,1
0.00182217,0.00512555,0.0191855,1,199,211.621,11.5577,1,1,1
0.000534625,0.000595926,0.00665008,1,192,211.621,11.5463,1,1,1
0.00208194,0.0137149,0.0247166,1,194,211.621,12.3751,1,1,1
0.00210851,0.00113287,0.0184167,1,193,211.621,11.6302,1,1,1
0.00057047,0.00163185,0.00661639,1,191,211.621,12.8827,1,1,1
0.00406495,0.0101805,0.0104126,1,260,211.621,13.8893,1,1,1
0.00149932,0.0244645,0.0102212,1,199,211.621,12.0134,1,1,1
0.000591792,0.00150504,0.00695373,1,195,211.621,12.3489,1,1,1
0.00289909,0.00933923,0.0463079,0.994792,192,211.621,10.9118,1,0.994792,0.997389
0.00191255,0.00266892,0.0128019,1,197,211.621,11.6364,1,1,1
0.00104095,0.00312985,0.00782263,1,197,211.621,12.3316,1,1,1
0.00136575,0.00299365,0.0107118,0.984127,189,211.621,11.3101,1,0.984127,0.992
0.00184797,0.00840122,0.031645,1,192,211.621,11.7375,1,1,1
0.00123241,0.000817266,0.0117259,1,195,211.621,11.6181,1,1,1
0.00055816,0.0157944,0.00631512,1,193,211.621,11.5617,1,1,1
0.000932476,0.00510382,0.0136733,1,203,211.621,11.1858,1,1,1
0.00176543,0.00148902,0.0390278,1,191,211.621,11.7314,1,1,1
0.00142708,0.00054509,0.00875302,1,192,211.621,11.8983,1,1,1
0.00123701,0.00971178,0.0253147,1,204,211.621,10.8685,1,1,1
0.00219608,0.00705512,0.0135563,1,194,211.621,11.3632,1,1,1
0.000542403,0.000703242,0.00633682,1,191,211.621,12.0603,1,1,1
