Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00514166,0.00244926,0.00945268,1,211,121.045,12.4623,1,1,1,211,0,0,0
0.00403833,0.000777843,0.00938371,1,213,121.045,12.229,1,1,1,213,0,0,0
0.0121131,0.00129782,0.0255188,1,208,121.045,12.5064,1,1,1,208,0,0,0
0.0102727,0.00488608,0.0114326,1,210,121.045,12.412,1,1,1,210,0,0,0
0.00499365,0.0188638,0.0081231,1,210,121.045,12.1866,1,1,1,210,0,0,0
0.00422811,0.000593398,0.0103209,1,212,121.045,12.367,1,1,1,212,0,0,0
0.0121688,0.00141705,0.0246179,1,206,121.045,12.0749,1,1,1,206,0,0,0
0.0131337,0.00184967,0.0278185,1,208,121.045,12.0241,1,1,1,208,0,0,0
0.00505496,0.00597426,0.00864639,1,211,121.045,12.2033,1,1,1,211,0,0,0
0.00463992,0.00368755,0.0129169,1,206,127.393,12.2975,1,1,1,206,0,0,0
0.0129321,0.00130585,0.0248077,1,207,127.393,12.6336,1,1,1,207,0,0,0
0.00715445,0.00730597,0.00895168,1,204,127.393,12.0766,1,1,1,204,0,0,0
0.0120876,0.0187119,0.0252198,1,210,127.393,11.3895,1,1,1,210,0,0,0
0.00666655,0.00206965,0.0105691,1,213,127.393,12.4988,1,1,1,213,0,0,0
0.0122382,0.00616279,0.0322493,1,213,127.393,12.2466,1,1,1,213,0,0,0
0.00555577,0.00347984,0.0091992,1,211,127.393,12.2881,1,1,1,211,0,0,0
0.0124673,0.0187652,0.0288151,1,211,127.393,12.3888,1,1,1,211,0,0,0
0.00598728,0.00248876,0.0094203,1,208,127.393,12.4327,1,1,1,208,0,0,0
0.00445782,0.00128986,0.0152421,1,208,127.393,11.9451,1,1,1,208,0,0,0
0.0118122,0.00194669,0.0252252,1,210,127.393,12.1303,1,1,1,210,0,0,0
0.0080089,0.00189638,0.0112655,1,212,127.393,12.8055,1,1,1,212,0,0,0
0.0056106,0.000713988,0.0156242,1,213,127.393,11.7853,1,1,1,213,0,0,0
0.0122414,0.00162779,0.0287434,1,217,127.393,11.8469,1,1,1,217,0,0,0
0.00592603,0.009184,0.00831065,1,212,127.393,12.3255,1,1,1,212,0,0,0
0.00460697,0.00206756,0.028166,1,210,127.393,11.7647,1,1,1,210,0,0,0
0.00839002,0.00136946,0.0193984,1,212,127.393,12.3378,1,1,1,212,0,0,0
0.00893374,0.00197224,0.0130002,1,212,127.393,12.4058,1,1,1,212,0,0,0
0.00516013,0.0133166,0.0139558,1,211,127.393,11.8031,1,1,1,211,0,0,0
0.0077333,0.000755139,0.0142457,1,212,127.393,12.3831,1,1,1,212,0,0,0
0.00647914,0.000766157,0.0135369,1,211,127.393,11.8092,1,1,1,211,0,0,0
0.0124615,0.00292523,0.0265857,1,211,127.393,12.205,1,1,1,211,0,0,0
0.00659939,0.000763171,0.0113431,1,209,127.393,11.8793,1,1,1,209,0,0,0
0.00419621,0.000765236,0.0102322,1,217,127.393,11.0943,1,1,1,217,0,0,0
0.0103165,0.00226361,0.0263479,1,216,127.393,11.8268,1,1,1,216,0,0,0
0.00796154,0.0270908,0.00898142,1,214,127.393,11.8976,1,1,1,214,0,0,0
0.00505615,0.016017,0.0175564,1,210,127.393,12.3477,1,1,1,210,0,0,0
0.00413201,0.00216379,0.00754937,1,212,127.393,11.7648,1,1,1,212,0,0,0
0.00523792,0.00081863,0.0147517,1,213,127.393,12.0135,1,1,1,213,0,0,0
0.0107973,0.00143893,0.022309,1,210,127.393,12.3128,1,1,1,210,0,0,0
0.00810264,0.00385591,0.0159108,1,210,127.393,12.0841,1,1,1,210,0,0,0
0.00487085,0.00917753,0.0106833,1,213,127.393,11.7492,1,1,1,213,0,0,0
0.00793161,0.00155093,0.0199752,1,206,127.393,11.9618,1,1,1,206,0,0,0
0.0122875,0.00154331,0.0257413,1,208,127.393,12.0069,1,1,1,208,0,0,0
0.00608028,0.0043362,0.00934222,1,211,127.393,12.1824,1,1,1,211,0,0,0
0.00491962,0.0011677,0.0128775,1,207,127.393,12.0451,1,1,1,207,0,0,0
0.00763599,0.00469294,0.016975,1,210,127.393,11.4284,1,1,1,210,0,0,0
0.00791265,0.000908331,0.016528,1,214,127.393,11.8761,1,1,1,214,0,0,0
0.00871144,0.0018892,0.0178095,0.995349,215,127.393,11.883,1,0.995349,0.997669,214,0,1,0
0.0134337,0.00135,0.0267853,1,210,127.393,11.9924,1,1,1,210,0,0,0
0.00634487,0.0038269,0.00920626,1,210,127.393,12.2477,1,1,1,210,0,0,0
0.00429769,0.000990426,0.0111718,1,209,127.393,12.7822,1,1,1,209,0,0,0
0.00594599,0.000698297,0.0127667,1,212,127.393,12.5016,1,1,1,212,0,0,0
0.0123494,0.00154489,0.0255078,1,203,127.393,12.6712,1,1,1,203,0,0,0
