Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00169523,0.00315818,0.0197545,1,191,25.3906,11.3625
0.00169958,0.00308155,0.0193465,1,188,25.3906,11.6342
0.00124092,0.00226111,0.0189857,1,189,25.3906,11.9137
0.00173832,0.00325501,0.0203706,1,194,25.3906,11.8855
0.0017066,0.00305618,0.0194676,1,188,23.3398,11.8746
0.00170215,0.0031504,0.0197835,1,190,23.3398,11.1483
0.00171201,0.00332728,0.0205117,1,198,23.3398,10.5915
0.00170693,0.003148,0.019758,1,190,23.3398,11.2401
0.00170347,0.00317397,0.0199927,1,192,23.3398,10.9235
0.00174461,0.00315319,0.0196715,1,191,23.3398,11.9086
0.00174254,0.003089,0.0196173,0.994709,189,23.3398,10.5003
0.00171914,0.00319706,0.0200067,1,193,23.3398,10.9332
0.0016958,0.00317959,0.0195531,1,191,23.3398,10.7858
0.00170056,0.00323278,0.0199008,1,191,23.3398,11.6955
0.00182459,0.0031449,0.00895676,1,191,23.3398,12.068
0.00165421,0.0031966,0.0241556,1,184,23.3398,11.2374
0.00173015,0.00354291,0.0236235,1,192,23.3398,12.2767
0.00179988,0.00309338,0.0249866,1,189,23.3398,11.4068
0.000862393,0.00159625,0.0143475,1,190,23.3398,11.5369
0.00279038,0.00412665,0.0247588,1,190,23.3398,10.6306
0.00174433,0.00324458,0.0246486,1,192,23.3398,11.3069
0.00174342,0.00320322,0.0250209,0.958549,193,23.3398,10.5963
0.000512724,0.000940535,0.00576924,0.994819,193,23.3398,11.0574
0.000721592,0.00138598,0.0090575,1,196,23.3398,11.5988
0.00177833,0.00319117,0.0252013,1,191,23.3398,12.075
0.000805401,0.00152295,0.0125189,1,198,23.3398,11.7854
0.00220067,0.00349014,0.0243283,1,188,23.3398,11.3474
0.00164144,0.00317629,0.0250169,1,190,23.3398,11.204
0.00169742,0.00307174,0.0238117,1,188,23.3398,12.628
0.002736,0.0038856,0.0235405,1,192,23.3398,11.9648
0.00174276,0.00330796,0.0250932,1,196,23.3398,12.3322
0.00179716,0.00326266,0.0250769,1,198,23.3398,11.5956
0.00164406,0.00320855,0.0253668,1,193,23.3398,11.6837
0.00174086,0.00315739,0.0249443,1,190,23.3398,12.0333
0.00116152,0.00236966,0.0231462,1,197,23.3398,12.3817
0.00134195,0.00302868,0.0244523,0.989418,189,23.3398,9.99522
0.00127269,0.00224168,0.0231625,1,197,23.3398,11.6909
0.00112205,0.00195257,0.0200378,1,191,23.3398,11.4166
0.00184455,0.00303758,0.025282,1,188,23.3398,10.8098
0.00174499,0.00313087,0.0248129,1,189,23.3398,11.4026
0.00112423,0.00265321,0.0120849,1,191,23.3398,10.962
0.00173427,0.00315803,0.0197987,1,191,23.3398,11.068
0.00129296,0.00328936,0.0204596,1,194,23.3398,11.1916
0.00181839,0.00319695,0.01972,0.994819,193,23.3398,12.4746
0.00171376,0.00302314,0.0191892,1,184,23.3398,10.5564
0.00168932,0.00311839,0.0194872,1,189,23.3398,11.1329
0.00191725,0.00317877,0.0197245,1,189,23.3398,11.4987
0.000695521,0.00126035,0.00912467,0.989418,189,23.3398,11.0989
0.00177093,0.00309961,0.0196693,1,189,23.3398,12.1517
0.00202768,0.00342812,0.0216372,1,193,23.3398,12.5736
0.00115282,0.00219738,0.0174702,1,189,23.3398,12.0973
0.00168309,0.00309697,0.0190466,1,187,23.3398,12.0236
