Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00237532,0.00116778,0.00641945,1,186,152.197,11.4414
0.00327621,0.00306597,0.019474,1,188,152.197,11.7994
0.00328501,0.00329645,0.020245,1,195,152.197,12.3765
0.00219681,0.00216595,0.0251354,1,183,152.197,12.1541
0.0010911,0.00098477,0.00621994,1,187,152.197,12.1826
0.00471259,0.00424389,0.0272277,1,190,152.197,11.9527
0.00157774,0.00161592,0.0104329,1,187,152.197,11.4
0.00335168,0.0031807,0.0185527,1,194,152.197,12.139
0.00336984,0.00308565,0.019775,1,189,152.197,11.828
0.00138189,0.00148954,0.00989717,1,195,152.197,11.1079
0.00336308,0.003173,0.0212173,1,192,152.197,11.6436
0.00335021,0.00319136,0.0248206,1,192,152.197,11.3308
0.000909737,0.000895996,0.00543162,1,189,152.197,11.9631
0.00337813,0.00309014,0.018398,1,187,152.197,11.1139
0.00110248,0.000993886,0.00667965,1,184,152.197,11.2821
0.00333168,0.00309942,0.0138887,1,189,152.197,13.2831
0.00331247,0.00313326,0.0239296,1,190,152.197,11.7223
0.00470406,0.00412687,0.0232896,1,185,152.197,11.667
0.000910691,0.000866729,0.00530532,1,194,152.197,12.2057
0.00469465,0.00413506,0.0160157,1,189,152.197,12.1558
0.00342346,0.00324515,0.016676,1,194,152.197,12.4516
0.00100367,0.000934425,0.00565219,1,189,152.197,12.1954
0.00337262,0.00317439,0.0194988,1,187,152.197,12.2102
0.00334615,0.00313383,0.0193304,1,187,152.197,12.496
0.00341009,0.00324934,0.020091,1,194,152.197,11.4169
0.00129436,0.00119094,0.00757862,1,189,152.197,11.457
0.00332573,0.0032636,0.0196205,1,191,152.197,11.8888
0.00206456,0.00213466,0.0130226,1,192,152.197,11.4913
0.002392,0.00239085,0.0146149,1,195,152.197,12.0671
0.0033998,0.0031993,0.0199689,1,188,152.197,10.9365
0.00112221,0.00108513,0.0068371,1,189,152.197,11.7942
0.0033876,0.00327873,0.0201438,1,192,152.197,12.2391
0.00336914,0.00301596,0.0192852,1,182,152.197,12.3192
0.00338139,0.00320183,0.0210859,1,193,152.197,11.8852
0.00339265,0.0031641,0.0204038,1,188,152.197,11.6971
0.00340354,0.00312703,0.01978,1,189,152.197,11.4588
0.00334031,0.00306677,0.0193301,1,188,152.197,11.72
0.00128214,0.0011963,0.00733469,1,188,152.197,11.9753
0.00146884,0.00140178,0.010763,1,190,152.197,12.276
0.0034369,0.00325792,0.0206784,1,194,152.197,11.7877
0.00343176,0.00316876,0.0194011,1,187,152.197,11.4818
0.00110702,0.001057,0.006819,1,188,152.197,11.5361
0.0039899,0.00320121,0.0206653,1,187,152.197,11.8056
0.00374238,0.00356415,0.0200117,1,190,152.197,11.9421
0.00126546,0.00126016,0.0088841,1,194,152.197,11.8477
0.00341228,0.0031414,0.0203184,1,188,152.197,11.9249
0.00221261,0.00214851,0.0140149,1,192,152.197,11.666
0.00407387,0.00312687,0.0193261,1,186,152.197,12.2787
0.00339455,0.00313851,0.0242986,1,190,152.197,11.7752
0.00348652,0.00330566,0.0230129,1,195,156.055,12.4037
0.00318307,0.00312959,0.0244757,1,190,156.055,11.6998
0.00335201,0.00318234,0.0232819,1,192,156.055,11.9272
0.000956952,0.000880998,0.00555255,1,185,156.055,11.4349
0.0045409,0.00298733,0.0221343,1,182,156.055,12.2331
0.00335572,0.00321924,0.019613,1,193,156.055,11.8015
0.00117077,0.00107783,0.00666638,1,187,156.055,11.6932
0.00335775,0.00299748,0.0229317,1,180,156.055,12.6439
0.00334045,0.00336696,0.0100934,1,195,156.055,12.2482
0.00331817,0.00319699,0.0249819,1,191,156.055,12.0886
0.00110534,0.00111817,0.00690327,1,195,156.055,12.9446
0.0033866,0.00324973,0.0200264,1,193,156.055,11.7614
0.00343327,0.00329578,0.0182735,1,194,156.055,11.6881
0.00129907,0.0012903,0.00782286,1,193,156.055,12.0071
0.00335574,0.00315406,0.0195634,1,189,156.055,11.5501
0.00331104,0.00305163,0.01915,1,185,156.055,11.1612
0.00340686,0.00324523,0.0191655,1,192,156.055,11.6779
0.00144352,0.0014116,0.0088346,1,189,156.055,12.0446
0.00332511,0.00332831,0.0232127,1,195,156.055,11.9428
0.00350148,0.00359451,0.0214907,1,192,156.055,11.3072
0.00200657,0.00194514,0.0152536,1,190,156.055,12.2876
0.00256353,0.00251787,0.0158624,1,190,156.055,12.0056
0.00349476,0.00310617,0.0215585,1,188,156.055,11.2804
0.00364211,0.00340187,0.0201712,1,195,156.055,11.3149
0.00337754,0.00317649,0.0220406,1,191,156.055,11.6022
0.00335948,0.00312594,0.0200383,1,188,156.055,11.2658
0.00332843,0.00319552,0.0214594,1,192,156.055,11.8113
0.00358669,0.00311128,0.0108656,1,187,156.055,11.4656
0.00345182,0.00310517,0.0222994,1,188,156.055,11.3619
0.00109376,0.00105263,0.00635608,1,187,156.055,12.2931
0.00335526,0.00337902,0.0230031,1,194,156.055,11.882
0.0032927,0.00324011,0.0204501,1,193,156.055,11.0451
0.00240835,0.00224578,0.0220246,1,189,156.055,11.0741
0.0010985,0.00106575,0.00646796,1,190,156.055,11.9482
0.00384454,0.00351671,0.0215857,1,189,156.055,12.0936
0.00344982,0.00440598,0.0212365,1,194,156.055,12.4719
0.00238103,0.00301148,0.0197417,1,189,156.055,11.9107
0.0034491,0.00130912,0.00577079,1,184,156.055,11.1905
0.00332341,0.00309238,0.019446,1,188,156.055,11.9491
0.0040479,0.00333522,0.0223687,1,194,156.055,11.6795
0.00240329,0.00215513,0.0138937,1,189,156.055,12.0698
0.00332852,0.0030697,0.021022,1,187,156.055,11.2316
