Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00283467,0.00276339,0.0192485,1,171,92.334,13.9594
0.00290312,0.00280942,0.0186998,1,175,92.334,12.2469
0.00287288,0.00274765,0.0188793,1,171,92.334,13.8675
0.00289465,0.00279518,0.0187446,1,174,92.334,13.7388
0.00209563,0.00208982,0.018923,1,177,92.334,13.7449
0.00289307,0.00271702,0.0183576,0.988235,170,92.334,12.031
0.00286849,0.00275906,0.0187551,1,170,92.334,13.8906
0.00108315,0.00104753,0.00687557,1,170,92.334,12.9137
0.00291377,0.00276724,0.0178861,1,171,92.334,12.822
0.00289321,0.00263248,0.0169662,1,166,92.334,13.7615
0.00288097,0.00282158,0.0177985,0.99422,173,92.334,12.24
0.00289942,0.00276695,0.0181754,1,171,92.334,12.9086
0.00291104,0.00289496,0.0179271,0.988571,175,92.334,13.4478
0.00281724,0.00280723,0.0191997,1,174,92.334,12.7964
0.00292149,0.002778,0.0191674,1,174,92.334,13.8418
0.0028679,0.00277428,0.0190611,1,173,92.334,13.4343
0.00287894,0.00287949,0.0198304,1,178,92.334,12.9815
0.00289407,0.00276212,0.0193006,1,171,92.334,12.8691
0.00283199,0.00274177,0.0185734,1,172,92.334,12.621
0.00286032,0.00275574,0.00738096,1,171,92.334,13.4841
0.00288697,0.00286508,0.0188863,0.994318,176,92.334,12.6643
0.00288745,0.00268863,0.018697,1,169,92.334,12.7205
0.00218955,0.00284262,0.0193162,1,175,92.334,13.4679
0.00282763,0.00289364,0.0191745,1,176,92.334,13.4249
0.00288689,0.00278272,0.0187236,1,173,92.334,12.7151
0.00289535,0.0027062,0.0182081,1,169,92.334,12.8783
0.00282376,0.00256703,0.0175277,1,163,92.334,13.4276
0.00281998,0.00294149,0.0202026,1,179,92.334,12.7616
0.00284566,0.00267307,0.0184453,1,169,92.334,14.0181
0.0028835,0.00273595,0.0184156,1,171,92.334,12.8332
0.00285649,0.00285638,0.0182115,1,176,92.334,13.3578
0.00290309,0.00273536,0.0174384,1,171,92.334,12.9274
0.00291886,0.00288996,0.0182973,1,177,92.9688,13.9695
0.0028424,0.0027221,0.0173503,1,170,92.9688,13.4051
0.00162254,0.00155054,0.00804284,1,175,92.9688,13.1956
0.00290939,0.00283249,0.0121382,1,175,92.9688,12.3608
0.00289638,0.00301219,0.0250163,0.994505,182,92.9688,13.584
0.00140606,0.00136223,0.012423,1,169,92.9688,12.7164
0.00285045,0.00266255,0.0236341,1,167,92.9688,13.0135
0.00278997,0.00283666,0.0245257,1,175,92.9688,14.1096
0.00288946,0.00280666,0.0238151,1,173,92.9688,12.086
0.00289954,0.0028368,0.0243833,1,176,92.9688,13.7694
0.00282242,0.00272655,0.0232188,0.994118,170,92.9688,13.8819
0.00280355,0.00290641,0.0210399,0.988439,173,92.9688,13.3292
0.001898,0.00186426,0.0156659,1,173,92.9688,12.8579
0.00286367,0.00276112,0.0237576,0.994152,171,92.9688,12.5498
0.0028369,0.00357304,0.0224328,1,176,92.9688,12.4056
0.00253841,0.00281181,0.023964,1,174,92.9688,13.4691
0.00283549,0.00260407,0.0227391,1,165,92.9688,13.0709
0.00287062,0.00276808,0.0236521,1,171,92.9688,12.5354
0.00285621,0.00265666,0.0239482,1,167,92.9688,13.1812
0.00138708,0.00153214,0.0136856,1,174,92.9688,13.2957
0.00281604,0.00275729,0.0246918,0.988372,172,92.9688,12.9461
0.00282559,0.00285851,0.0237149,1,175,92.9688,13.3343
0.00292342,0.00266298,0.0234376,1,167,92.9688,12.7823
0.00288345,0.0027787,0.0182054,1,174,92.9688,13.4782
0.00286502,0.0026598,0.0175179,1,167,92.9688,13.2259
0.00285495,0.00275526,0.0175805,1,171,92.9688,13.325
0.00290432,0.00273864,0.0178748,1,173,92.9688,12.8748
0.00288559,0.00273504,0.0179524,0.988304,171,92.9688,13.1277
0.00288517,0.00275794,0.0176713,1,171,92.9688,13.0675
0.00292079,0.00298849,0.0185909,0.972376,181,92.9688,13.6875
0.0028873,0.00284365,0.018001,0.994286,175,92.9688,13.2743
0.0029127,0.00300454,0.0189708,1,184,92.9688,13.6731
0.00285807,0.00281419,0.0178917,1,174,92.9688,12.99
0.00291634,0.00286622,0.0187565,0.994318,176,92.9688,13.2093
0.00290394,0.00279217,0.0178323,0.99422,173,92.9688,12.9634
0.00291862,0.00278344,0.0176395,1,173,92.9688,13.4501
0.00285335,0.00287077,0.0180753,0.982955,176,92.9688,13.6386
0.00289046,0.00275782,0.0176904,0.99422,173,92.9688,12.3886
0.00289084,0.00284517,0.0181838,1,175,92.9688,12.5402
0.00288508,0.00265177,0.0170414,1,166,92.9688,13.5134
0.0029108,0.00295382,0.0184658,1,180,92.9688,13.9896
0.00289639,0.00267512,0.0174107,1,169,92.9688,13.7388
0.00288973,0.00278964,0.0176732,1,173,92.9688,13.5481
0.00288675,0.00280474,0.0178503,1,174,92.9688,13.2685
0.00288026,0.00274664,0.0175886,1,171,92.9688,12.5048
0.00288416,0.00276968,0.0175669,1,172,92.9688,13.4067
0.00290032,0.00276515,0.0179174,1,173,92.9688,13.7162
0.0041416,0.00383066,0.0177046,1,172,92.9688,13.7777
0.00130732,0.00131582,0.0115353,1,175,92.9688,13.0754
0.00286092,0.00273431,0.0175901,1,170,92.9688,13.2126
0.0013985,0.00144223,0.0112448,1,177,101.562,12.7767
0.00286903,0.00274376,0.0177785,1,172,101.562,13.0524
0.0027911,0.00283885,0.0179278,1,173,101.562,13.1848
0.00174672,0.00173278,0.0138587,1,174,101.562,13.5501
0.00289598,0.00283425,0.0179104,1,175,101.562,13.0119
0.00286921,0.0027067,0.0179144,1,170,101.562,11.5217
0.00286843,0.00279287,0.018219,1,173,101.562,12.6239
0.00288362,0.00279518,0.0177433,1,173,101.562,14.4399
0.00286914,0.00280367,0.0178568,1,174,101.562,14.4202
0.00289312,0.00288999,0.0192373,1,177,101.562,12.4799
0.00287262,0.00267585,0.0177713,1,169,101.562,12.7154
0.00287615,0.00263985,0.0173334,1,169,101.562,12.9217
0.00287168,0.00289961,0.0183881,0.994444,180,101.562,12.7221
0.00287523,0.00271065,0.0174978,1,172,101.562,12.3161
0.00287279,0.00278449,0.0179914,1,175,101.562,13.0814
0.00206808,0.00200819,0.0178361,0.99422,173,101.562,13.2108
0.00279102,0.00266712,0.0173986,1,165,101.562,13.4144
0.00289501,0.00281819,0.0177257,0.99422,173,101.562,13.2008
0.00172397,0.0016871,0.0136678,1,171,101.562,13.4847
0.00288347,0.00281558,0.0176582,1,174,101.562,12.4099
0.00187592,0.00190931,0.0158568,0.994286,175,101.562,13.0236
0.00286445,0.00272573,0.0174192,1,171,101.562,13.0824
0.00286366,0.00271228,0.0173724,1,169,101.562,12.4497
0.00173396,0.0017177,0.0144422,1,174,101.562,12.8371
0.00285381,0.00266599,0.0175434,1,169,101.562,13.0914
0.00228261,0.00251902,0.0187506,0.99422,173,101.562,13.32
0.00275634,0.00283574,0.0181798,0.994286,175,101.562,14.0297
0.00286727,0.00285021,0.0182943,1,177,101.562,12.3545
0.00285555,0.00274555,0.0177918,0.988439,173,101.562,13.6423
0.00283054,0.00260947,0.0170027,0.98773,163,101.562,11.8657
0.00112082,0.00126574,0.00857755,0.994253,174,101.562,13.2529
0.00217572,0.00284782,0.0183962,1,172,101.562,13.1061
0.00287307,0.00283866,0.0178865,1,176,101.562,13.4714
0.0028688,0.00276212,0.0177143,1,172,101.562,13.2164
0.00287196,0.00270435,0.0174085,1,168,101.562,13.0441
0.00287744,0.00275151,0.0177379,1,172,101.562,12.8929
0.00287964,0.00290755,0.018231,1,177,101.562,13.5817
0.00287327,0.0027956,0.0178092,1,172,101.562,13.0448
0.00287314,0.00271769,0.0173652,1,171,101.562,13.9366
0.00289617,0.00249177,0.0166157,1,161,101.562,14.3436
0.0028736,0.00271836,0.0175039,1,171,101.562,13.9709
0.00284698,0.00276395,0.0181048,1,172,101.562,14.0391
0.00290119,0.00261854,0.0177966,1,168,101.562,13.2527
0.00288747,0.00282657,0.0179743,1,175,101.562,14.1031
0.00293267,0.00281523,0.0180616,0.994318,176,101.562,13.8699
0.00289666,0.00260978,0.0175645,1,167,101.562,13.8971
0.00290775,0.0026984,0.0179662,1,170,101.562,12.7881
0.00287281,0.00268561,0.017563,1,171,101.562,13.1214
0.00288356,0.00287133,0.017951,1,174,101.562,13.4415
0.00283231,0.00271726,0.0172932,0.994083,169,101.562,12.8445
0.00279911,0.00277544,0.0176209,0.988439,173,93.4082,13.3482
0.0028768,0.0027329,0.0176912,1,172,93.4082,12.3863
0.0020839,0.00210339,0.0105014,1,174,93.4082,12.6235
0.0028643,0.00290007,0.0186371,1,177,93.4082,12.2744
0.00286697,0.00272547,0.0175896,1,171,93.4082,13.0441
0.00283084,0.00296566,0.0186697,1,182,93.4082,12.8023
0.00287119,0.00272506,0.0175191,1,172,93.4082,13.2844
0.0028777,0.00277712,0.0178947,0.988506,174,93.4082,13.2391
0.00286769,0.00272091,0.0179569,1,171,93.4082,13.6706
0.00289065,0.00271657,0.0173405,1,169,93.4082,13.609
0.00283229,0.00267016,0.0154593,1,167,93.4082,13.1464
0.00279808,0.00283036,0.0178726,0.982659,173,93.4082,13.0685
0.00285221,0.00284286,0.0174243,1,170,93.4082,12.7704
0.00289545,0.00277402,0.0183983,1,172,93.4082,12.6752
0.00286475,0.00275327,0.0175084,1,172,93.4082,12.7655
0.00287515,0.0028982,0.0178241,0.99435,177,93.4082,13.3678
0.00189708,0.00242327,0.0166581,1,178,93.4082,13.1954
0.00286744,0.00278392,0.0178121,1,173,93.4082,13.0031
0.00279663,0.00280966,0.0175124,1,171,93.4082,13.4297
0.0028587,0.0027923,0.0177286,1,171,93.4082,12.6578
0.00284211,0.00263659,0.0167369,1,165,93.4082,13.4044
0.00282933,0.00267601,0.0171536,0.988095,168,93.4082,14.0309
0.00279687,0.00282108,0.0179472,1,174,93.4082,13.231
0.00284272,0.00277526,0.0176274,1,171,93.4082,14.1613
0.00287597,0.0028546,0.0180473,0.994286,175,93.4082,11.865
0.00279288,0.00265893,0.016846,1,165,93.4082,13.571
0.00288114,0.00266591,0.0172817,0.988166,169,93.4082,13.3773
0.0028736,0.00291286,0.018226,1,178,93.4082,13.3523
0.00287804,0.00279361,0.017627,0.994253,174,93.4082,12.3434
0.00285956,0.00268876,0.0172647,1,169,93.4082,12.7095
0.00287433,0.00276806,0.017643,1,173,93.4082,12.9119
0.00283324,0.00284346,0.0181093,1,175,93.4082,12.9136
0.00284764,0.00274226,0.0179244,1,171,93.4082,12.7316
0.00283119,0.00278341,0.0175857,1,171,93.4082,12.4239
0.00284988,0.00290791,0.0182504,1,178,93.4082,13.4722
0.00292203,0.0027479,0.0195181,1,169,93.4082,13.3341
0.00107243,0.00106028,0.00723591,1,171,93.4082,13.4662
0.00338904,0.00271259,0.015955,1,169,93.4082,12.8826
0.00279032,0.00274026,0.0186514,1,171,93.4082,13.5024
0.00251397,0.00292523,0.0113828,1,180,93.4082,13.2983
0.00278507,0.00283926,0.0189059,1,176,93.4082,13.2793
0.00284417,0.00286078,0.0181746,1,178,93.4082,13.2695
0.00285989,0.00273374,0.0177738,1,172,93.4082,12.7282
0.00283753,0.00291387,0.00779508,1,178,93.4082,13.227
0.00286249,0.00271282,0.0171117,0.994048,168,93.4082,13.3188
0.00286961,0.00275876,0.0113929,1,171,93.4082,13.3706
0.00287456,0.00264599,0.0170834,0.994012,167,93.4082,12.3021
0.002876,0.0027778,0.0173391,1,172,93.4082,12.5166
0.00112175,0.00108716,0.00807716,1,170,93.4082,13.1968
0.00283497,0.00280687,0.0176445,1,173,93.4082,13.1426
0.00286345,0.00276054,0.0177413,0.994186,172,101.953,12.7361
0.00283949,0.00280128,0.0176698,0.982759,174,101.953,12.2276
0.00285111,0.00286713,0.0181668,1,176,101.953,13.3067
0.00286959,0.00282266,0.0185654,0.994318,176,101.953,12.4733
0.00282821,0.0028611,0.0180163,1,177,101.953,13.1385
0.00133935,0.00135609,0.0100188,1,176,101.953,12.2506
0.00287509,0.00292131,0.0181754,0.982955,176,101.953,12.7813
0.00283455,0.00284951,0.018398,1,175,101.953,13.6321
0.00164939,0.00201842,0.0128283,1,174,101.953,13.0039
0.00287091,0.00287402,0.0180259,1,176,101.953,13.3659
0.00286451,0.00295176,0.0182305,0.994382,178,101.953,12.9068
