Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00414157,0.00366109,0.0201571,1,193,3.90625,12.1016
0.00130336,0.00109901,0.00643815,1,191,3.90625,11.8241
0.00290009,0.00341328,0.0208413,1,202,3.90625,12.2919
0.003725,0.00324939,0.020027,1,192,3.90625,11.4884
0.00143932,0.0017552,0.0107196,1,196,3.90625,11.5752
0.00300204,0.00297242,0.026734,1,196,3.90625,11.1846
0.00363342,0.00399368,0.0158984,1,193,3.90625,11.4774
0.00143061,0.00158041,0.0103509,1,199,3.90625,11.969
0.00340296,0.00344524,0.0208705,1,197,3.90625,12.0442
0.00330007,0.00345605,0.0207156,1,201,3.90625,10.9902
0.00145655,0.00164958,0.0108361,1,193,3.90625,11.5091
0.00336676,0.00331584,0.0208107,1,195,3.90625,12.0584
0.00352892,0.00327466,0.0227631,1,193,3.90625,11.2376
0.0011338,0.00111316,0.00694293,1,197,3.90625,11.5905
0.00343165,0.00303269,0.0221933,1,189,3.90625,10.4503
0.00471116,0.00366862,0.0211712,1,199,3.90625,12.2673
0.0011209,0.00109556,0.00667371,1,194,3.90625,12.1294
0.00334716,0.00321609,0.0248149,1,193,19.6289,11.6079
0.00338146,0.00328086,0.0202687,1,197,19.6289,11.8811
0.00223672,0.0021572,0.013228,1,194,19.6289,12.5355
0.00200765,0.00240538,0.0145697,1,197,19.6289,12.8629
0.00336291,0.0033097,0.0201332,1,197,19.6289,12.4802
0.0033749,0.00348481,0.0209376,0.995074,203,19.6289,11.7364
0.00170144,0.00177812,0.0108682,1,195,19.6289,11.9815
0.0034182,0.00341526,0.0205683,1,198,19.6289,12.0749
0.00175999,0.00203626,0.0132677,1,194,19.6289,11.8203
0.00343841,0.00350258,0.0216409,1,203,19.6289,11.5094
0.0015417,0.00160702,0.00973759,1,201,19.6289,11.9292
0.00296247,0.00305739,0.0190532,1,203,19.6289,11.9149
0.00342335,0.00317211,0.0199013,1,191,19.6289,11.4079
0.00343554,0.0033734,0.0206432,1,199,19.6289,11.8852
0.00131221,0.00131698,0.00807073,1,197,19.6289,12.2496
0.00340159,0.00317051,0.0198923,1,192,19.6289,11.1879
0.0021951,0.00248971,0.0210471,1,191,19.6289,11.4158
0.00459166,0.00344189,0.0217906,1,192,19.6289,11.593
0.00145681,0.00143143,0.0123877,1,189,19.6289,10.93
0.00451298,0.00332147,0.0230245,1,196,19.6289,11.7724
0.00150891,0.00160763,0.0123954,1,192,19.6289,11.4216
0.00337277,0.00336381,0.0250609,1,199,19.6289,11.3072
0.00152105,0.00184057,0.0136316,1,210,19.6289,12.6559
0.0033125,0.0034897,0.0233727,1,198,19.6289,11.3642
0.00444586,0.00334008,0.0230547,1,199,19.6289,12.8676
0.00251238,0.00291533,0.0193897,1,196,19.6289,12.1408
0.00175129,0.00175899,0.0112838,1,197,19.6289,12.1352
0.00336082,0.00334487,0.0219772,1,199,19.6289,12.7376
0.00353127,0.0031621,0.0200114,1,190,19.6289,12.5712
0.0017928,0.00215523,0.0144063,1,198,19.6289,11.7471
0.00339146,0.00322087,0.0207805,1,193,19.6289,12.33
0.00415048,0.00348331,0.0215941,1,191,19.6289,12.6663
0.00172186,0.0017484,0.0114533,1,196,19.6289,11.8193
0.00139308,0.00143157,0.0110753,1,191,19.6289,11.9967
0.00340099,0.00319968,0.0211054,1,192,19.6289,11.8112
0.00457811,0.00345832,0.0172481,1,190,19.6289,11.317
0.00166158,0.00134394,0.00717664,1,188,19.6289,12.3562
0.00398474,0.0034008,0.0208237,1,197,19.6289,12.3961
0.00179694,0.00171194,0.0138251,1,194,19.6289,11.374
0.00273523,0.00254157,0.0159905,1,192,19.6289,12.9606
0.00341265,0.0034074,0.0209119,1,202,19.6289,12.26
0.00341474,0.00359987,0.0214703,1,200,19.6289,12.4443
0.00112618,0.00117134,0.00693988,1,203,19.6289,12.9146
0.00142321,0.00112578,0.00746338,1,194,19.6289,11.7435
0.0034147,0.00334002,0.0231588,1,198,19.6289,11.6828
0.00339128,0.00319012,0.010478,1,192,19.6289,10.9848
