Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00368708,0.0030636,0.0168494,1,186,50.5859,11.6533
0.00295861,0.00273585,0.0184992,1,186,50.5859,11.8419
0.000917521,0.000941384,0.005657,1,196,50.5859,12.1291
0.00302682,0.00271398,0.0113309,1,184,50.5859,11.963
0.00290224,0.00276438,0.0173155,1,189,50.5859,11.8855
0.00323832,0.00293992,0.0183632,1,194,50.5859,11.6292
0.00354157,0.00307973,0.0172449,1,188,50.5859,11.3413
0.00277021,0.00285585,0.0180835,1,195,50.5859,12.4543
0.00400534,0.00359743,0.0199318,1,190,50.5859,11.6417
0.00143645,0.0012108,0.00659785,1,193,50.5859,11.2496
0.00297505,0.00275111,0.0187368,1,188,50.5859,11.3911
0.0033813,0.00328388,0.00810886,1,195,50.5859,11.2625
0.00332502,0.0030163,0.0207353,1,186,50.5859,11.7294
0.00330647,0.00309225,0.0210671,1,189,50.5859,10.8963
0.00382745,0.0027673,0.010394,1,184,50.5859,11.1791
0.00296134,0.00280992,0.0181267,1,190,50.5859,12.4924
0.00160635,0.00154414,0.00603028,1,188,50.5859,11.7121
0.00338062,0.00300257,0.0201256,1,186,50.5859,11.6194
0.00299375,0.00314894,0.0195681,1,192,50.5859,11.933
0.0033701,0.0031106,0.0199298,1,190,50.5859,12.5124
0.00331005,0.00317304,0.0200341,1,194,50.5859,12.6931
0.00291976,0.00299254,0.0195164,1,190,50.5859,12.2271
0.00339946,0.00316822,0.0198134,1,192,50.5859,12.1314
0.00216924,0.00267808,0.0174145,1,189,50.5859,12.2095
0.00328337,0.00322872,0.0199501,1,193,50.5859,11.3881
0.00342015,0.0037762,0.0210162,1,190,50.5859,11.6805
0.0033528,0.00322311,0.0211003,1,193,46.5332,11.5029
0.00336692,0.00317733,0.0206593,1,194,46.5332,11.4262
0.00165995,0.00166796,0.0130118,1,194,46.5332,11.7145
0.00363944,0.00306498,0.0190695,1,185,46.5332,10.8807
0.00219377,0.00256738,0.0182129,1,192,46.5332,11.205
0.00329794,0.00318848,0.0203175,1,193,46.5332,12.2214
0.00115127,0.0010326,0.00643072,1,187,46.5332,12.0482
0.00336097,0.0033122,0.0199924,1,193,46.5332,11.5993
0.00191876,0.00205355,0.012738,1,188,46.5332,11.2659
0.00337112,0.00304634,0.0193226,1,187,46.5332,11.5169
0.00337294,0.00314533,0.020148,1,188,46.5332,11.5655
0.00338558,0.00305434,0.0204775,1,186,46.5332,11.1708
0.00113635,0.00108487,0.00674599,1,194,46.5332,12.1222
0.00339394,0.00115609,0.00650071,1,197,46.5332,11.994
0.00330686,0.00307795,0.019316,1,188,46.5332,11.4421
0.00331064,0.00313254,0.0225291,1,191,46.5332,11.8978
0.0034183,0.00306699,0.0191919,1,189,46.5332,11.4846
0.00330371,0.00306307,0.0195445,1,188,46.5332,11.9476
0.00331308,0.00318849,0.0196121,1,193,46.5332,11.8152
0.00330193,0.00302383,0.0193265,1,186,46.5332,11.9369
0.00330823,0.00319591,0.0197071,1,192,46.5332,11.8501
0.00221518,0.0026632,0.016736,1,185,46.5332,11.7224
0.00332116,0.003127,0.0196858,1,190,46.5332,11.7956
0.00334392,0.0032133,0.0209388,1,194,46.5332,12.1043
0.00152419,0.00162035,0.0104382,1,187,46.5332,11.4542
0.00381552,0.00322792,0.0221176,1,193,46.5332,11.6239
0.00293023,0.00296474,0.0195033,1,187,46.5332,11.0233
0.00342299,0.00295347,0.0189042,1,180,46.5332,11.9842
0.00334762,0.00325872,0.0195696,1,195,46.5332,12.3947
0.00318744,0.00304951,0.0194019,1,188,46.5332,11.8166
0.00331893,0.00299111,0.0191535,1,183,46.5332,12.5621
0.00150419,0.00151701,0.0107815,1,196,46.5332,12.0668
0.00325827,0.00341816,0.0198153,1,192,46.5332,12.1822
0.00301864,0.0033061,0.0204531,1,197,46.5332,12.4488
0.00335091,0.00319284,0.020036,1,193,46.5332,11.7011
0.00113995,0.00107167,0.0065646,1,193,46.5332,11.6604
0.00335415,0.00310937,0.0194413,1,188,46.5332,11.5192
0.00332534,0.00318402,0.0193698,1,187,46.5332,11.8797
0.00331796,0.00302362,0.0186486,1,181,46.5332,11.0017
0.0032413,0.00308942,0.019629,1,189,46.5332,11.3596
0.0033068,0.00323322,0.0197406,1,189,46.5332,11.3413
0.00337016,0.00330853,0.0225198,0.994898,196,46.5332,11.6459
0.00176608,0.00213053,0.0137662,1,192,46.5332,11.2258
0.00336902,0.00315924,0.0204828,0.994792,192,46.5332,12.1912
0.0038184,0.00393693,0.0204035,1,190,46.5332,11.8351
0.00219872,0.00206312,0.018314,1,188,46.5332,11.1418
0.00357445,0.00326182,0.0201608,1,194,46.5332,10.8723
0.00178661,0.00219778,0.0143583,1,195,46.5332,11.7729
0.0033745,0.00141776,0.00727254,1,189,46.5332,11.2343
0.00150578,0.00106383,0.00727521,1,190,46.5332,11.1387
0.00329732,0.00305427,0.0191309,1,186,46.5332,11.5666
0.00334166,0.00319696,0.0196152,1,188,42.7734,11.1734
0.00330003,0.00306348,0.0190644,1,187,42.7734,11.7889
0.00299798,0.00333882,0.0201905,1,195,42.7734,12.0243
0.00330371,0.00319586,0.0195145,1,192,42.7734,11.0879
0.00332349,0.00317856,0.0196887,1,193,42.7734,10.861
0.00330058,0.00320806,0.0197003,1,192,42.7734,11.9454
0.00223593,0.00271755,0.0192211,1,188,42.7734,11.5555
0.00340249,0.00329307,0.0199424,1,194,42.7734,12.2792
0.00282583,0.00308094,0.0194031,1,188,42.7734,11.2318
0.00336282,0.00305778,0.0188369,1,185,42.7734,11.7773
0.00336035,0.00309016,0.0193149,1,187,42.7734,11.4955
0.00337289,0.00320549,0.019984,1,192,42.7734,11.6914
0.00331296,0.00312265,0.0189828,1,189,42.7734,11.6961
0.00333686,0.00311675,0.0217533,1,186,42.7734,10.9562
0.00333722,0.00316088,0.0193787,1,191,42.7734,10.2644
0.00335806,0.00322403,0.0202563,1,193,42.7734,11.6976
0.00221306,0.00238035,0.0177322,1,194,42.7734,10.9963
0.00356399,0.00326998,0.0196826,1,193,42.7734,11.933
0.00337586,0.00324815,0.0195485,1,190,42.7734,10.5174
0.00188746,0.00199716,0.0144841,1,192,42.7734,11.0663
0.00331939,0.00315682,0.0195844,1,189,42.7734,10.822
0.00331679,0.00308133,0.0196207,1,188,42.7734,11.5915
0.0034199,0.00317972,0.0197357,1,190,42.7734,11.592
0.00337287,0.00297832,0.0189911,1,183,42.7734,11.1753
0.00335574,0.00314979,0.0200304,1,190,42.7734,12.0906
0.002182,0.00219273,0.0169325,1,188,42.7734,11.569
0.00341848,0.00305851,0.0191883,1,186,42.7734,11.715
0.00338302,0.00321475,0.0202207,1,192,42.7734,10.8554
0.00340923,0.00142681,0.00627371,1,190,42.7734,11.2815
0.00333849,0.0030502,0.019525,0.984127,189,42.7734,10.6445
0.00127835,0.00122486,0.00756435,0.994792,192,42.7734,11.87
0.00347444,0.00323831,0.0204803,1,192,42.7734,11.5649
0.00148095,0.00139394,0.0086413,1,190,42.7734,12.2656
0.00331815,0.00330576,0.0202997,1,193,42.7734,11.8566
0.00337209,0.00307626,0.0186934,1,189,42.7734,11.7438
0.00330008,0.00201294,0.00607414,1,187,42.7734,11.6506
0.00334958,0.00314679,0.0199312,1,190,42.7734,12.2451
0.00336966,0.00324376,0.0206025,1,193,42.7734,11.757
0.00222829,0.00212518,0.0131471,1,193,42.7734,11.8404
0.00339897,0.00318977,0.0202071,1,194,42.7734,11.2657
0.00338956,0.0030885,0.0200097,1,188,42.7734,11.7661
0.00338584,0.00296681,0.0189012,1,184,42.7734,12.069
0.00333986,0.00330388,0.0204273,1,195,42.7734,12.3999
0.00174179,0.00162816,0.0101378,1,187,42.7734,10.2679
0.00336477,0.00319215,0.0207865,1,193,42.7734,11.305
0.00228943,0.00275585,0.0170965,1,189,42.7734,11.1783
0.00328422,0.00304573,0.0182985,1,186,42.7734,11.1418
0.00228815,0.00271308,0.0181101,1,186,42.7734,11.5086
0.00337577,0.00317043,0.0194938,1,189,42.7734,11.4005
0.00158204,0.00144565,0.00889413,1,188,42.7734,11.3453
0.00338437,0.0032232,0.0186713,1,191,47.3633,10.9798
0.00330427,0.00311965,0.0201309,1,190,47.3633,12.5787
